id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
589,121.4903955,31.36495924,0.841871793,0.686718004,0.729258109,0.692927914,0.643254721,0.712959721,0.71783171
590,121.4899084,31.36477172,0.879368074,0.764508778,0.826921884,0.756981467,0.65273923,0.751410183,0.771988269
591,121.489404,31.36463235,0.895791477,0.728071568,0.816760914,0.755724308,0.64393149,0.758393378,0.766445523
592,121.4889033,31.36447644,0.88181267,0.79520107,0.831319055,0.765657411,0.666437587,0.756988573,0.782902728
593,121.4884223,31.36427126,0.898085746,0.74271631,0.826943848,0.760224506,0.64950742,0.763179305,0.773442856
595,121.4874425,31.36391078,0.820440981,0.62875662,0.787153832,0.711593465,0.560714319,0.69536403,0.700670541
825,121.5529455,31.36792993,0.695953647,0.347371084,0.621673385,0.550806385,0.459274537,0.593036145,0.544685864
836,121.5538925,31.36773089,0.761046648,0.427475055,0.668233974,0.603370144,0.506983743,0.636861328,0.600661815
838,121.5548739,31.36736071,0.872651926,0.560171651,0.798146335,0.715011992,0.558975613,0.727352523,0.705385007
877,121.4406677,31.35989465,0.21079785,0.394569383,0.230924818,0.301217587,0.493100085,0.334554394,0.327527353
878,121.4409075,31.35943066,0.638513125,0.344182353,0.541250566,0.511037927,0.481920162,0.562866456,0.513295098
879,121.4411514,31.35896983,0.473788937,0.244116636,0.433584018,0.424466526,0.408572386,0.474727583,0.409876014
892,121.4484325,31.3611222,0.818084761,0.492666196,0.755031118,0.667339416,0.516940448,0.682769106,0.655471841
908,121.447171,31.35931854,0.227014972,0.542830754,0.290971235,0.361839978,0.525049897,0.356486119,0.384032159
913,121.4517706,31.36425738,0.438393246,0.440807972,0.435862259,0.485330921,0.49421808,0.477007429,0.461936651
914,121.447928,31.36226672,0.904338035,0.649147583,0.828877667,0.751148754,0.606421348,0.760829472,0.750127143
915,121.4481218,31.36178262,0.896587123,0.650185634,0.824414683,0.743805556,0.605114178,0.754947804,0.745842496
917,121.4533406,31.36073349,0.432738566,0.204421649,0.41587969,0.402312089,0.358114078,0.44936883,0.37713915
918,121.4535737,31.36026201,0.43348231,0.197636538,0.417135926,0.401073606,0.352161173,0.448120833,0.374935064
927,121.4532711,31.36168392,0.444294805,0.207134969,0.429227792,0.406836091,0.359692918,0.454357583,0.383590693
928,121.4536829,31.3607216,0.454618335,0.201260211,0.434754343,0.410539507,0.354918815,0.457714034,0.385634208
929,121.4528049,31.36207967,0.665395364,0.333657493,0.619549054,0.543797973,0.43566391,0.578082101,0.529357649
930,121.4530215,31.36229051,0.448103854,0.266824671,0.435372809,0.416522808,0.403471903,0.463778179,0.405679037
931,121.4524992,31.36279403,0.61186556,0.306617067,0.585216302,0.521423627,0.412111355,0.548156092,0.497565001
932,121.4527369,31.36301198,0.546201054,0.25800884,0.523708392,0.476745077,0.385575602,0.510854932,0.450182316
1028,121.5216583,31.35927996,0.202109629,0.208124613,0.19884932,0.259495632,0.40157415,0.315223372,0.264229453
1079,121.5220572,31.35933576,0.251103759,0.330441073,0.23625848,0.305335102,0.489102885,0.352380608,0.327436985
1080,121.5230764,31.35948395,0.5,0.434087538,0.450560292,0.447711825,0.526320175,0.5,0.476446638
1081,121.5235799,31.35962628,0.22388382,0.238250109,0.215845056,0.272998288,0.421342077,0.331262488,0.283930306
1082,121.5240875,31.35975471,0.207924297,0.400243486,0.207274859,0.285193146,0.521803103,0.328761785,0.325200113
1083,121.5245977,31.35987662,0.20015941,0.400432682,0.203265074,0.286247415,0.517824315,0.325048903,0.322162967
1084,121.5251191,31.3598655,0.226268672,0.36746568,0.250731298,0.30553986,0.466573849,0.34218049,0.326459975
1085,121.5225758,31.36002262,0.323265301,0.392220524,0.300535243,0.351980074,0.514485197,0.403519699,0.381001006
1177,121.5490752,31.36405857,0.483065604,0.223387591,0.447080918,0.423641756,0.381671004,0.476073684,0.405820093
1178,121.5495653,31.36387282,0.306641201,0.164042572,0.307232582,0.331805868,0.334645134,0.376843003,0.30353506
1179,121.550059,31.36369984,0.5,0.274450141,0.480786696,0.447187463,0.403196572,0.488783791,0.432400777
1180,121.55055,31.36352929,0.566119297,0.298833754,0.527874247,0.486281255,0.420431378,0.525354074,0.470815668
1182,121.5515278,31.36317345,0.478493523,0.234179296,0.442175301,0.42131416,0.38985984,0.47479615,0.406803045
1183,121.5520145,31.36298072,0.443828667,0.21552062,0.407507766,0.402552537,0.378957154,0.45542983,0.383966096
1185,121.5530036,31.36263754,0.401313597,0.182675441,0.377027434,0.377619806,0.352662477,0.430201251,0.353583334
1186,121.5534915,31.36244753,0.413862891,0.191092479,0.384353624,0.384785757,0.357147545,0.43725976,0.361417009
1187,121.553978,31.36225453,0.567729947,0.255702245,0.509335825,0.467978094,0.406038587,0.520376751,0.454526908
1188,121.5544775,31.36209637,0.582171562,0.262240561,0.529553571,0.482687246,0.40370053,0.528733251,0.464847787
1189,121.5549623,31.36189729,0.446483007,0.20296534,0.408485631,0.401555489,0.368256797,0.455115537,0.380476967
1191,121.5559508,31.36154725,0.438071376,0.204734428,0.415831849,0.405089479,0.362245133,0.451994881,0.379661191
1193,121.5569386,31.36118875,0.475441747,0.217531161,0.441345194,0.421001867,0.374832632,0.471777004,0.400321601
1194,121.5574363,31.36101878,0.493282241,0.219425735,0.456722292,0.427347886,0.377759246,0.480157084,0.409115747
1195,121.5579237,31.36082276,0.376229115,0.168947169,0.355429793,0.36085321,0.343411564,0.414284282,0.336525856
1196,121.5584227,31.36065655,0.693824153,0.34752131,0.636250884,0.561763909,0.447549992,0.595104005,0.547002376
1197,121.5589217,31.36049034,0.521839427,0.242985662,0.487131934,0.454848014,0.385418028,0.5,0.432037178
1199,121.5599147,31.36014771,0.719157731,0.365124149,0.665381384,0.580140003,0.452163332,0.609053351,0.565169992
1201,121.5608914,31.35977651,0.415558714,0.231932024,0.411188684,0.400098794,0.374607925,0.444130291,0.379586072
1202,121.5613788,31.35959637,0.378680668,0.194617004,0.362956131,0.370445143,0.356135699,0.419727245,0.347093648
1203,121.5618713,31.35942741,0.439974194,0.214291612,0.41775477,0.406632783,0.368184072,0.453853162,0.383448432
1204,121.5623669,31.3592572,0.386315838,0.191445049,0.367903756,0.374771414,0.353730685,0.423433392,0.349600022
1206,121.5633501,31.3588953,0.341488877,0.159908506,0.317098466,0.336995146,0.341138006,0.392344937,0.31482899
1213,121.5667991,31.35767689,0.262624758,0.152479554,0.264708792,0.296073819,0.331059041,0.350721531,0.276277916
1214,121.5672861,31.35748372,0.235309936,0.14424871,0.246450552,0.280752691,0.315309431,0.330730408,0.258800288
1275,121.4210719,31.35455623,0.799510933,0.530998743,0.766287697,0.673490535,0.514792388,0.669827179,0.659151246
1276,121.4222619,31.35425425,0.86545191,0.70842362,0.825166714,0.741135769,0.612160235,0.736068886,0.748067856
1277,121.4224454,31.35376204,0.564884632,0.5,0.5914459,0.541631901,0.493410322,0.544233522,0.539267713
