id,lng,lat,total_2019,total_2013,difference
1848,121.4104904,31.35252072,0.739770872,0.738657216,0.001113656
1860,121.4118119,31.35274213,0.750950076,0.758374098,-0.007424022
1861,121.4112872,31.35272555,0.736006152,0.745271322,-0.00926517
1864,121.4127167,31.35308641,0.742707313,0.749133286,-0.006425973
1871,121.4188523,31.35000112,0.741350175,0.702104519,0.039245656
1872,121.4193631,31.35012558,0.581257546,0.573538121,0.007719425
1873,121.4198738,31.35025065,0.777057049,0.722416673,0.054640376
1874,121.4203831,31.35038091,0.633769534,0.617100913,0.016668621
1875,121.4208925,31.35051117,0.722930906,0.753559463,-0.030628557
1876,121.4214033,31.35063558,0.731998376,0.663004249,0.068994127
1877,121.421914,31.35076035,0.686162976,0.585117306,0.10104567
1878,121.4224231,31.35089266,0.745196736,0.612064394,0.133132342
1879,121.422933,31.35102079,0.438307812,0.410509375,0.027798437
1880,121.4179215,31.34926341,0.550371002,0.353434461,0.196936541
1881,121.4180508,31.34875359,0.423225835,0.46486003,-0.041634195
1882,121.4181877,31.34824579,0.472210827,0.522893126,-0.050682299
1883,121.4183317,31.3477399,0.470053777,0.502996985,-0.032943208
1884,121.418485,31.34723693,0.434409516,0.385754063,0.048655453
1885,121.4173278,31.34961429,0.32699095,0.425860842,-0.098869892
1886,121.416827,31.34946356,0.336845806,0.445306376,-0.10846057
1909,121.4235713,31.3506665,0.631735138,0.675563746,-0.043828608
1910,121.4237653,31.35018053,0.709668576,0.64773759,0.061930986
1911,121.4239366,31.34968533,0.640344743,0.580196003,0.06014874
1912,121.4241273,31.34919777,0.533835457,0.499467242,0.034368215
1913,121.4243033,31.34870889,0.675693367,0.558261446,0.117431921
1914,121.4244887,31.34822046,0.409559017,0.457506109,-0.047947092
1915,121.4246828,31.34773454,0.487378102,0.395458642,0.09191946
1917,121.4238939,31.35122212,0.39709664,0.407939912,-0.010843272
1918,121.424396,31.35136506,0.408227125,0.427181602,-0.018954477
1919,121.4249027,31.35149235,0.662065147,0.608495656,0.053569491
1920,121.4254138,31.35159352,0.785194287,0.730116694,0.055077593
