id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
1382,121.4605674,31.35578052,0.361227476,0.32885357,0.402782925,0.406924681,0.410846462,0.424955311,0.389265071
1383,121.4600818,31.3555873,0.30801633,0.331838141,0.359257811,0.380039034,0.414261302,0.396063151,0.364912628
1384,121.4596029,31.35537697,0.23078679,0.23200517,0.272728106,0.316943423,0.35915577,0.342000392,0.292269942
1385,121.459119,31.35517795,0.398147776,0.298738684,0.43423083,0.425269099,0.393675695,0.442627278,0.39878156
1386,121.4586398,31.35496831,0.395405827,0.277537156,0.422498967,0.411913956,0.389485654,0.438806881,0.38927474
1387,121.458154,31.35477533,0.413123005,0.308490525,0.436258201,0.422272417,0.412355675,0.451395915,0.407315956
1388,121.4576675,31.35458183,0.219937941,0.346743507,0.272812743,0.331880339,0.429019027,0.342995944,0.32389825
1389,121.4571901,31.35436483,0.295909706,0.31783376,0.34132318,0.392379795,0.415074258,0.390593454,0.358852359
1390,121.4567052,31.35416645,0.590427392,0.292883115,0.57739705,0.5,0.402724584,0.533576026,0.482834695
1436,121.4847113,31.35610547,0.884167978,0.64163601,0.803806027,0.729659073,0.605580285,0.74370115,0.734758421
1437,121.4845052,31.35658437,0.759651309,0.486189385,0.608783503,0.598089984,0.570950443,0.637965923,0.610271758
1438,121.484256,31.35704728,0.684872518,0.425560581,0.539022761,0.549865779,0.547467659,0.594095167,0.556814078
1443,121.4848761,31.35742696,0.684872518,0.425560581,0.539022761,0.549865779,0.547467659,0.594095167,0.556814078
1444,121.4850646,31.35693648,0.75347685,0.486017397,0.603512339,0.592275021,0.574042073,0.634559457,0.607313856
1445,121.4852579,31.35644786,0.836431077,0.55344865,0.697937372,0.656483426,0.595162239,0.696285508,0.672624712
1446,121.4855129,31.35599096,0.825976484,0.54345761,0.695319565,0.648937919,0.588799886,0.687541692,0.665005526
1447,121.4858049,31.35555452,0.84510706,0.564654351,0.706807736,0.668053387,0.599019218,0.701449699,0.680848575
1448,121.4860679,31.35510074,0.857822937,0.560502098,0.727107967,0.675784934,0.597015881,0.71264784,0.688480276
1449,121.4863144,31.35463937,0.853747109,0.586077726,0.715541196,0.680022962,0.606112321,0.7084688,0.691661686
1450,121.4865903,31.35420423,0.584406155,0.457779366,0.525136761,0.509403676,0.536204069,0.548422324,0.526892059
1451,121.4870331,31.3542732,0.591146841,0.43777919,0.525912647,0.509383523,0.527737311,0.55008558,0.523674182
